id,group_id,user_id,inviter_id,is_admin,is_mod,user_title,date_modified,comments,is_confirmed,is_banned,invite_sent
"149","38","293","466","0","0","","2017-04-27 23:39:09","","0","0","1"
"150","38","397","466","0","0","","2017-04-27 23:39:10","","0","0","1"
"151","38","53","466","0","0","","2017-04-27 23:39:10","","0","0","1"
"152","38","14","466","0","0","","2017-04-27 23:39:15","","0","0","1"
"153","38","288","466","0","0","","2017-04-27 23:39:16","","0","0","1"
"154","38","291","466","0","0","","2017-04-27 23:39:18","","0","0","1"
"155","38","468","466","0","0","","2017-04-27 23:39:20","","0","0","1"
"156","38","132","466","0","0","","2017-04-27 23:39:25","","0","0","1"
"157","38","33","466","0","0","","2017-04-27 23:39:26","","0","0","1"
"158","38","471","466","0","0","","2017-04-27 23:39:29","","0","0","1"
"159","38","168","466","0","0","","2017-04-27 23:39:34","","0","0","1"
"160","38","422","466","0","0","","2017-04-27 23:39:37","","0","0","1"
"161","38","118","466","0","0","","2017-04-27 23:39:42","","0","0","1"
"162","38","87","466","0","0","","2017-04-27 23:39:43","","0","0","1"
"163","38","192","466","0","0","","2017-04-27 23:39:44","","0","0","1"
"164","38","55","466","0","0","","2017-04-27 23:39:49","","0","0","1"
"165","38","146","466","0","0","","2017-04-27 23:39:51","","0","0","1"
"166","38","150","466","0","0","","2017-04-27 23:39:53","","0","0","1"
"167","38","37","466","0","0","","2017-04-27 23:39:57","","0","0","1"
"168","38","40","466","0","0","","2017-04-27 23:40:04","","0","0","1"
"169","38","292","466","0","0","","2017-04-27 23:40:05","","0","0","1"
"211","38","389","0","0","0","","2017-04-28 00:29:49","","1","0","0"
"171","38","460","466","0","0","","2017-04-27 23:40:11","","0","0","1"
"172","38","268","466","0","0","","2017-04-27 23:40:14","","0","0","1"
"173","38","419","466","0","0","","2017-04-27 23:40:15","","0","0","1"
"174","38","103","466","0","0","","2017-04-27 23:40:21","","0","0","1"
"175","38","394","0","0","0","","2017-04-28 18:23:08","","1","0","1"
"176","38","54","466","0","0","","2017-04-27 23:40:23","","0","0","1"
"177","38","36","466","0","0","","2017-04-27 23:40:28","","0","0","1"
"178","38","93","466","0","0","","2017-04-27 23:40:29","","0","0","1"
"179","38","166","466","0","0","","2017-04-27 23:40:30","","0","0","1"
"180","38","66","466","0","0","","2017-04-27 23:40:31","","0","0","1"
"181","38","196","466","0","0","","2017-04-27 23:40:36","","0","0","1"
"182","38","127","466","0","0","","2017-04-27 23:40:37","","0","0","1"
"183","38","144","466","0","0","","2017-04-27 23:40:38","","0","0","1"
"184","38","136","466","0","0","","2017-04-27 23:40:42","","0","0","1"
"185","38","412","466","0","0","","2017-04-27 23:40:48","","0","0","1"
"186","38","261","466","0","0","","2017-04-27 23:40:49","","0","0","1"
"187","38","27","466","0","0","","2017-04-27 23:40:51","","0","0","1"
"188","38","189","466","0","0","","2017-04-27 23:40:51","","0","0","1"
"189","38","383","466","0","0","","2017-04-27 23:40:55","","0","0","1"
"190","38","208","466","0","0","","2017-04-27 23:40:57","","0","0","1"
"191","38","82","466","0","0","","2017-04-27 23:40:58","","0","0","1"
"192","38","74","466","0","0","","2017-04-27 23:41:00","","0","0","1"
"193","38","224","466","0","0","","2017-04-27 23:41:04","","0","0","1"
"194","38","111","466","0","0","","2017-04-27 23:41:05","","0","0","1"
"195","38","129","466","0","0","","2017-04-27 23:41:07","","0","0","1"
"196","38","413","466","0","0","","2017-04-27 23:41:08","","0","0","1"
"197","38","382","466","0","0","","2017-04-27 23:41:10","","0","0","1"
"198","38","34","466","0","0","","2017-04-27 23:41:11","","0","0","1"
"199","38","365","466","0","0","","2017-04-27 23:41:26","","0","0","1"
"200","38","361","466","0","0","","2017-04-27 23:41:27","","0","0","1"
"201","38","329","466","0","0","","2017-04-27 23:41:36","","0","0","1"
"202","38","338","466","0","0","","2017-04-27 23:41:40","","0","0","1"
"203","38","318","466","0","0","","2017-04-27 23:41:42","","0","0","1"
"204","38","362","466","0","0","","2017-04-27 23:41:49","","0","0","1"
"205","38","373","466","0","0","","2017-04-27 23:41:50","","0","0","1"
"206","38","301","466","0","0","","2017-04-27 23:41:58","","0","0","1"
